3

v02 a00 v00
-212.0 0.0 0.0
-156.0 0.0 0.0
-259.0 0.0 0.0
-104.0 0.0 0.0
80.0 0.0 0.0
-93.0 0.0 0.0
-74.0 0.0 0.0
-193.0 0.0 0.0
-170.0 0.0 0.0
-48.0 0.0 0.0
-66.0 0.0 0.0
-116.0 0.0 0.0
3.0 0.0 0.0
-104.0 0.0 0.0
-81.0 0.0 0.0
-48.0 0.0 0.0
0.0 0.0 0.0
-211.0 0.0 0.0
-6.0 0.0 0.0
-83.0 0.0 0.0
-8.0 0.0 0.0
-119.0 0.0 0.0
-255.0 0.0 0.0
-374.0 0.0 0.0
-452.0 0.0 0.0
15.0 0.0 0.0
-269.0 0.0 0.0
-304.0 0.0 0.0
-269.0 0.0 0.0
-253.0 0.0 0.0
-22.0 0.0 0.0
-150.0 0.0 0.0
-438.0 0.0 0.0
-40.0 0.0 0.0
-112.0 0.0 0.0
-278.0 0.0 0.0
-247.0 0.0 0.0
-93.0 0.0 0.0
-371.0 0.0 0.0
-375.0 0.0 0.0
-29.0 0.0 0.0
-191.0 0.0 0.0
-320.0 0.0 0.0
-218.0 0.0 0.0
-214.0 0.0 0.0
-312.0 0.0 0.0
-326.0 0.0 0.0
33.0 0.0 0.0
152.0 0.0 0.0
-250.0 0.0 0.0
-125.0 0.0 0.0
-105.0 0.0 0.0
-11.0 0.0 0.0
-165.0 0.0 0.0
-120.0 0.0 0.0
-78.0 0.0 0.0
-55.0 0.0 0.0
-141.0 0.0 0.0
-208.0 0.0 0.0
-77.0 0.0 0.0
-57.0 0.0 0.0
-148.0 0.0 0.0
-85.0 0.0 0.0
-324.0 0.0 0.0
-194.0 0.0 0.0
-132.0 0.0 0.0
-114.0 0.0 0.0
-198.0 0.0 0.0
-482.0 0.0 0.0
-260.0 0.0 0.0
-70.0 0.0 0.0
-132.0 0.0 0.0
-157.0 0.0 0.0
-117.0 0.0 0.0
-101.0 0.0 0.0
-103.0 0.0 0.0
-196.0 0.0 0.0
-141.0 0.0 0.0
-116.0 0.0 0.0
-166.0 0.0 0.0
-465.0 0.0 0.0
-128.0 0.0 0.0
-161.0 0.0 0.0
-87.0 0.0 0.0
-155.0 0.0 0.0
-579.0 0.0 0.0
-178.0 0.0 0.0
-162.0 0.0 0.0
-30.0 0.0 0.0
-181.0 0.0 0.0
-53.0 0.0 0.0
-63.0 0.0 0.0
-112.0 0.0 0.0
-248.0 0.0 0.0
-116.0 0.0 0.0
-159.0 0.0 0.0
-131.0 0.0 0.0
-42.0 0.0 0.0
-87.0 0.0 0.0
-57.0 0.0 0.0
-71.0 0.0 0.0
-68.0 0.0 0.0
-233.0 0.0 0.0
-17.0 0.0 0.0
-141.0 0.0 0.0
9.0 0.0 0.0
-208.0 0.0 0.0
-142.0 0.0 0.0
-55.0 0.0 0.0
-198.0 0.0 0.0
-60.0 0.0 0.0
-67.0 0.0 0.0
-204.0 0.0 0.0
8.0 0.0 0.0
-271.0 0.0 0.0
